tick,timestamp,event,regime,strategy,hysteresis,proposed,positions,balance,equity,realized,unrealized,price,avg,stddev,slope_pct,r2,long_slope_pct,buy_price,buy_vol,gate_dir,gate_dist_pct,breakout_mult,offset_mult,vol_mult,spacing,details
1,2026-03-23 16:03:30,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.97,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
2,2026-03-23 16:03:30,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.97,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
3,2026-03-23 16:03:30,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.97,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
4,2026-03-23 16:03:31,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.97,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
5,2026-03-23 16:03:31,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.97,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
6,2026-03-23 16:03:31,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.98,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
7,2026-03-23 16:03:31,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.98,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
8,2026-03-23 16:03:31,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.98,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
9,2026-03-23 16:03:31,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.98,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
10,2026-03-23 16:03:31,SLOW_PATH,RANGING,MEAN_REVERSION,0,RANGING,0,10000.0000,10000.0000,0.0000,0.0000,70923.98,0.00,0.00,0.000000,0.0000,0.000000,0.00,0.00000000,0,0.0000,1.5000,1.5000,3.0000,0.00,
